Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average Annual Change
,Magnesium Production and Processing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,NC,NC,+
,PFCs,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,+
,Aluminum Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,(+),+,+,(+),(+),+
,Electronics Industry,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,+
,Substitution of Ozone Depleting Substancesd,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Electrical Transmission and Distribution,NO*,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+*,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+*,+*,NO*,+*,+*
,SF6,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,(+),+,(+),(+),(0.2),(0.1),(0.2),(+),(+),(+),(+),(+),(+)
,Electrical Transmission and Distribution,+,+,+,+,+,+,+,+,+,+,+,+,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(0.2),(0.1),(0.2),(+),+,+,-0.1,(+),(+)
,Electronics Industry,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,(+),(+),+,(+),+
,Magnesium Production and Processing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,(+),NC,+,(+),(+)
,NF3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,(+),(+),+,(+),(+),(+),(+)
,Electronics Industry,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,(+),(+),+,(+),(+),(+),(+)
,Change in Total Gross Emissions (Sources),10.8,9.3 ,10.9 ,9.0 ,9.0 ,9.5 ,9.8 ,9.7 ,11.6 ,12.7 ,14.0 ,16.2 ,14.9 ,12.5 ,13.0 ,11.8,16.3 ,14.2 ,16.0 ,15.3 ,16.3 ,17.7 ,20.6 ,19.8 ,18.4 ,17.9 ,17.5,17.7,16.1,13.4,14.1
,Percent Change in Total Gross Emissions,0.20%,0.1%,0.2%,0.1%,0.1%,0.1%,0.1%,0.1%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.20%,0.2%,0.2%,0.2%,0.2%,0.2%,0.3%,0.3%,0.3%,0.3%,0.3%,0.30%,0.30%,0.20%,0.20%,0.20%
NC (No Change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Absolute value does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Indicates inclusion of a new source for the current Inventory year that were not estimated in previous inventory. Emissions from new source categories and subcategories are captured in gross/net emissions and percent change totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Emissions from International Bunker Fuels are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Emissions from Wood Biomass, Ethanol, and Biodiesel Consumption are not included specifically in summing Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for Land Use, Land-Use Change, and Forestry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c LULUCF emissions of CH4 and N2O are reported separately from gross emissions totals in Table 9-2. LULUCF emissions include the CH4 and N2O emissions reported for Peatlands Remaining Peatlands, Forest Fires, Drained Organic Soils, Grassland Fires, and Coastal Wetlands Remaining Coastal Wetlands; Land Converted to Coastal Wetlands; Land Remaining Flooded Land; Land Converted to Flooded Land; and N2O emissions from Forest Soils and Settlement Soils.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Net change in total emissions presented without LULUCF. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
